Github Project,Star
gdi2290/angular-starter,9892
karma-runner/karma,9888
reduxjs/redux-devtools,9872
necolas/react-native-web,9859
DmitryBaranovskiy/raphael,9809
acgotaku/BaiduExporter,9800
krasimir/react-in-patterns,9777
hapijs/hapi,9771
nodemailer/nodemailer,9766
pshihn/rough,9595
paperjs/paper.js,9531
dcloudio/mui,9499
chalk/chalk,9477
GeekyAnts/NativeBase,9457
react-community/lottie-react-native,9444
Matt-Esch/virtual-dom,9409
FezVrasta/popper.js,9399
recharts/recharts,9389
feathersjs/feathers,9372
gollum/gollum,9353
reduxjs/redux-thunk,9351
vuejs/vue-devtools,9307
stylus/stylus,9295
nfarina/homebridge,9291
rwaldron/johnny-five,9254
gaearon/react-hot-loader,9185
wulkano/kap,9158
systemjs/systemjs,9152
javve/list.js,9131
akveo/blur-admin,9074
aFarkas/html5shiv,9021
knockout/knockout,9010
docker/kitematic,8999
nodejitsu/node-http-proxy,8980
sdelements/lets-chat,8971
ccampbell/mousetrap,8919
mishoo/UglifyJS2,8906
jamiebuilds/react-loadable,8906
Netflix/falcor,8898
onivim/oni,8881
jquery-validation/jquery-validation,8874
lovell/sharp,8835
MithrilJS/mithril.js,8783
aFarkas/lazysizes,8762
coryhouse/react-slingshot,8709
getify/Functional-Light-JS,8671
nosir/cleave.js,8629
eligrey/FileSaver.js,8619
hapijs/joi,8619
plotly/plotly.js,8588
purifycss/purifycss,8581
NUKnightLab/TimelineJS,8565
louischatriot/nedb,8562
Khan/KaTeX,8549
infinitered/reactotron,8545
guillaumepotier/Parsley.js,8541
aframevr/aframe,8495
amark/gun,8495
browsh-org/browsh,8491
kamranahmedse/driver.js,8474
CodeSeven/toastr,8460
restify/node-restify,8457
poteto/hiring-without-whiteboards,8447
qrohlf/trianglify,8446
JedWatson/classnames,8422
processing/p5.js,8421
afaqurk/linux-dash,8416
typicode/husky,8415
arasatasaygin/is.js,8408
sindresorhus/pageres,8384
howdyai/botkit,8374
matthieua/WOW,8370
nightwatchjs/nightwatch,8362
nuysoft/Mock,8314
infinitered/ignite,8312
tensorflow/tfjs,8305
pagekit/vue-resource,8295
typicode/lowdb,8294
hacksalot/HackMyResume,8270
vuejs/vuepress,8179
shelljs/shelljs,8143
twitter/twemoji,8109
jsdoc3/jsdoc,8108
fullcalendar/fullcalendar,8107
auth0/node-jsonwebtoken,8101
atlassian/react-beautiful-dnd,8088
wenzhixin/bootstrap-table,8085
vuejs/vue-hackernews-2.0,8063
jacomyal/sigma.js,8049
react-toolbox/react-toolbox,8045
facebook/Docusaurus,8039
gnab/remark,8035
senchalabs/connect,8022
HubSpot/tether,8019
dangrossman/daterangepicker,7988
jshint/jshint,7970
greensock/GreenSock-JS,7952
ianstormtaylor/slate,7936
olistic/warriorjs,7929
NaturalNode/natural,7924
spencermountain/compromise,7919
uBlock-LLC/uBlock,7917
danialfarid/ng-file-upload,7913
yahoo/react-intl,7891
Laverna/laverna,7881
marmelab/gremlins.js,7877
FredrikNoren/ungit,7869
brave/browser-laptop,7856
airbnb/react-dates,7841
c3js/c3,7838
nfl/react-helmet,7818
uncss/uncss,7816
facebook/nuclide,7797
highcharts/highcharts,7792
FineUploader/fine-uploader,7708
kusti8/proton-native,7705
google/traceur-compiler,7695
vuejs-templates/webpack,7688
angular/protractor,7683
Automattic/kue,7649
gabrielbull/react-desktop,7627
typicode/hotel,7625
openstf/stf,7617
iview/iview-admin,7585
chjj/blessed,7580
SBoudrias/Inquirer.js,7573
fastify/fastify,7544
sveltejs/svelte,7529
appium/appium,7526
summernote/summernote,7512
facebook/react-devtools,7502
douglascrockford/JSON-js,7502
Nickersoft/push.js,7497
getinsomnia/insomnia,7445
amsul/pickadate.js,7420
Semantic-Org/Semantic-UI-React,7410
Mango/slideout,7389
silviomoreto/bootstrap-select,7386
tgriesser/knex,7383
phobal/ivideo,7382
tuupola/jquery_lazyload,7379
gotwarlost/istanbul,7339
mailcheck/mailcheck,7309
liabru/matter-js,7296
leanote/leanote,7291
aksonov/react-native-router-flux,7290
taye/interact.js,7257
casperjs/casperjs,7233
indexzero/http-server,7184
ether/etherpad-lite,7182
marionettejs/backbone.marionette,7173
showdownjs/showdown,7145
mjmlio/mjml,7140
localtunnel/localtunnel,7094
haltu/muuri,7091
ruanyf/webpack-demos,7071
visionmedia/supertest,7069
sweetalert2/sweetalert2,7064
mongodb/node-mongodb-native,7054
hpneo/gmaps,6973
zeit/micro,6971
streamaserver/streama,6964
LeCoupa/awesome-cheatsheets,6956
addyosmani/critical,6945
josdejong/mathjs,6932
metricsgraphics/metrics-graphics,6897
CreateJS/EaselJS,6892
MichMich/MagicMirror,6889
michalsnik/aos,6888
VulcanJS/Vulcan,6883
aksakalli/gtop,6883
almende/vis,6883
ory/editor,6865
eduardolundgren/tracking.js,6864
datproject/dat,6848
segmentio/metalsmith,6845
typekit/webfontloader,6838
zalmoxisus/redux-devtools-extension,6807
quasarframework/quasar,6774
pubkey/rxdb,6772
marktext/marktext,6772
sentsin/layer,6757
MarshallOfSound/Google-Play-Music-Desktop-Player-UNOFFICIAL-,6744
docsifyjs/docsify,6740
FormidableLabs/spectacle,6736
ethereum/mist,6720
STRML/react-grid-layout,6719
jamiebuilds/itsy-bitsy-data-structures,6708
lokesh/color-thief,6699
SimulatedGREG/electron-vue,6624
marko-js/marko,6621
nock/nock,6587
novus/nvd3,6584
moment/luxon,6581
remoteintech/remote-jobs,6575
auchenberg/volkswagen,6554
keeweb/keeweb,6552
oliver-moran/jimp,6541
mattboldt/typed.js,6506
kimmobrunfeldt/progressbar.js,6499
sbstjn/timesheet.js,6497
brunch/brunch,6491
motdotla/dotenv,6483
google/boardgame.io,6483
zloirock/core-js,6477
adamwdraper/Numeral-js,6472
jgraph/drawio,6461
luruke/barba.js,6446
FormidableLabs/radium,6437
leecade/react-native-swiper,6435
visionmedia/debug,6409
vladikoff/chromeos-apk,6393
apidoc/apidoc,6371
pcottle/learnGitBranching,6367
krisk/Fuse,6357
brianc/node-postgres,6322
dc-js/dc.js,6301
gpujs/gpu.js,6290
Eonasdan/bootstrap-datetimepicker,6290
shutterstock/rickshaw,6277
facebook/react-360,6257
Tencent/weui-wxss,6256
utatti/perfect-scrollbar,6242
node-red/node-red,6225
rt2zz/redux-persist,6215
evolus/pencil,6205
thinkgem/jeesite,6199
dbushell/Pikaday,6198
FormidableLabs/victory,6194
mediaelement/mediaelement,6187
cazala/synaptic,6184
ducksboard/gridster.js,6168
webpack-contrib/webpack-bundle-analyzer,6168
LeaVerou/awesomplete,6165
luin/medis,6163
you-dont-need/You-Dont-Need-Lodash-Underscore,6154
be5invis/Iosevka,6145
vadimdemedes/ink,6145
vega/vega,6140
sinonjs/sinon,6136
mozilla/togetherjs,6135
wiredjs/wired-elements,6107
vitalets/x-editable,6088
nhnent/tui.calendar,6086
jantimon/html-webpack-plugin,6081
muaz-khan/WebRTC-Experiment,6059
kelektiv/node-uuid,6053
socketio/socket.io-client,6053
angular-fullstack/generator-angular-fullstack,6045
captbaritone/webamp,6044
klauscfhq/signale,6030
mgcrea/angular-strap,6017
joemccann/dillinger,6014
GoogleChrome/chrome-app-samples,5996
bpampuch/pdfmake,5992
fex-team/webuploader,5992
Valve/fingerprintjs2,5989
jaredreich/notie,5982
deepstreamIO/deepstream.io,5964
erikras/ducks-modular-redux,5953
stefanpenner/es6-promise,5952
Microsoft/Windows-universal-samples,5951
needim/noty,5951
mkdocs/mkdocs,5951
svgdotjs/svg.js,5942
text-mask/text-mask,5933
visionmedia/page.js,5931
jupyterlab/jupyterlab,5869
google/lovefield,5859
sockjs/sockjs-client,5826
bannedbook/fanqiang,5822
Tencent/vConsole,5820
OwlCarousel2/OwlCarousel2,5819
NeXTs/Clusterize.js,5818
pandao/editor.md,5788
netlify/netlify-cms,5776
shipshapecode/shepherd,5768
bramp/js-sequence-diagrams,5731
fantasyland/fantasy-land,5708
bootstrap-vue/bootstrap-vue,5703
fontello/fontello,5687
rauchg/slackin,5685
sdc-alibaba/SUI-Mobile,5682
markdown-it/markdown-it,5667
automerge/automerge,5648
fancyapps/fancybox,5648
tweenjs/tween.js,5644
FaridSafi/react-native-gifted-chat,5641
mholt/PapaParse,5633
youzan/zanui-weapp,5624
jonobr1/two.js,5623
alibaba/ice,5589
mathjax/MathJax,5578
beautify-web/js-beautify,5577
choojs/choo,5566
cs01/gdbgui,5564
ractivejs/ractive,5552
graphile/postgraphile,5551
chaijs/chai,5549
antvis/g2,5533
BrainJS/brain.js,5527
PrismJS/prism,5517
redux-observable/redux-observable,5501
dianping/cat,5480
davidshimjs/qrcodejs,5469
jquery/sizzle,5462
lllyasviel/style2paints,5455
este/este,5454
litten/hexo-theme-yilia,5447
webrtc/samples,5444
bailicangdu/node-elm,5440
filamentgroup/loadCSS,5418
ExactTarget/fuelux,5408
electron-userland/electron-packager,5403
adambard/learnxinyminutes-docs,5389
auduno/clmtrackr,5386
mozilla/nunjucks,5382
GoogleChrome/workbox,5374
reflux/refluxjs,5374
alvarcarto/url-to-pdf-api,5371
reactstrap/reactstrap,5369
skv-headless/react-native-scrollable-tab-view,5364
notwaldorf/tiny-care-terminal,5361
casesandberg/react-color,5354
OpenZeppelin/openzeppelin-solidity,5346
MoOx/postcss-cssnext,5340
akiran/react-slick,5330
densitydesign/raw,5320
olivernn/lunr.js,5310
node-schedule/node-schedule,5310
oblador/react-native-animatable,5303
jakesgordon/javascript-state-machine,5301
facebook/dataloader,5295
imakewebthings/deck.js,5295
RubyLouvre/avalon,5280
bailicangdu/vue2-happyfri,5273
nozzle/react-static,5273
Freeboard/freeboard,5271
webtorrent/webtorrent-desktop,5264
mweststrate/immer,5241
sindresorhus/fkill-cli,5233
KELiON/cerebro,5226
trentm/node-bunyan,5221
